통계년월,통계시도명,통계시군구명,성별,수급자구분,연령구간,수급자수
202006,서울특별시,성동구,남성,조건부수급자,30~39세,33
202006,서울특별시,성동구,남성,조건부수급자,40~49세,120
202006,서울특별시,성동구,남성,조건부수급자,50~59세,326
202006,서울특별시,성동구,남성,조건부수급자,60~64세,161
202006,서울특별시,성동구,남성,조건부수급자,65~69세,17
202006,서울특별시,성동구,남성,조건부수급자,70~74세,6
202006,서울특별시,성동구,남성,일반수급자,16~18세,156
202006,서울특별시,성동구,남성,조건부수급자,75~79세,4
202006,서울특별시,성동구,남성,조건부수급자,80~89세,3
202006,서울특별시,성동구,남성,조건부수급자,90세이상,1
202006,서울특별시,성동구,여성,조건부수급자,7세미만,18
202006,서울특별시,성동구,여성,조건부수급자,7~12세,30
202006,서울특별시,성동구,남성,일반수급자,19~29세,167
202006,서울특별시,성동구,여성,조건부수급자,13~15세,36
202006,서울특별시,성동구,여성,조건부수급자,16~18세,52
202006,서울특별시,광진구,여성,조건부수급자,19~29세,123
202006,서울특별시,광진구,여성,조건부수급자,30~39세,23
202006,서울특별시,광진구,여성,조건부수급자,40~49세,137
202006,서울특별시,광진구,여성,조건부수급자,50~59세,168
202006,서울특별시,광진구,여성,조건부수급자,60~64세,69
202006,서울특별시,광진구,여성,조건부수급자,65~69세,9
202006,서울특별시,광진구,남성,일반수급자,19~29세,319
202006,서울특별시,광진구,여성,조건부수급자,70~74세,9
202006,서울특별시,광진구,여성,조건부수급자,75~79세,6
202006,서울특별시,광진구,여성,조건부수급자,80~89세,3
202006,서울특별시,광진구,여성,조건부수급자,90세이상,4
202006,서울특별시,광진구,남성,일반수급자,30~39세,204
202006,서울특별시,광진구,남성,시설수급자,50~59세,1
202006,서울특별시,광진구,남성,시설수급자,60~64세,1
202006,서울특별시,광진구,남성,시설수급자,65~69세,2
202006,서울특별시,광진구,남성,일반수급자,40~49세,449
202006,서울특별시,광진구,남성,시설수급자,70~74세,1
202006,서울특별시,광진구,남성,시설수급자,75~79세,1
202006,서울특별시,광진구,남성,시설수급자,80~89세,1
202006,서울특별시,광진구,여성,시설수급자,7~12세,1
202006,서울특별시,광진구,여성,시설수급자,30~39세,1
202006,서울특별시,광진구,여성,시설수급자,40~49세,1
202006,서울특별시,광진구,여성,시설수급자,60~64세,2
202006,서울특별시,광진구,여성,시설수급자,65~69세,3
202006,서울특별시,광진구,남성,일반수급자,50~59세,951
202006,서울특별시,광진구,여성,시설수급자,70~74세,1
202006,서울특별시,광진구,여성,시설수급자,75~79세,9
202006,서울특별시,광진구,여성,시설수급자,80~89세,27
202006,서울특별시,광진구,여성,시설수급자,90세이상,15
202006,서울특별시,광진구,남성,특례수급자,13~15세,7
202006,서울특별시,광진구,남성,특례수급자,16~18세,2
202006,서울특별시,광진구,남성,특례수급자,19~29세,17
202006,서울특별시,광진구,남성,특례수급자,30~39세,2
202006,서울특별시,광진구,남성,특례수급자,40~49세,8
202006,서울특별시,광진구,남성,특례수급자,50~59세,31
202006,서울특별시,광진구,남성,일반수급자,60~64세,458
202006,서울특별시,광진구,남성,특례수급자,60~64세,15
202006,서울특별시,광진구,남성,특례수급자,65~69세,8
202006,서울특별시,광진구,남성,특례수급자,70~74세,5
202006,서울특별시,광진구,남성,특례수급자,75~79세,2
202006,서울특별시,광진구,남성,특례수급자,80~89세,4
202006,서울특별시,광진구,여성,특례수급자,13~15세,2
202006,서울특별시,광진구,여성,특례수급자,16~18세,3
202006,서울특별시,광진구,여성,특례수급자,19~29세,8
202006,서울특별시,광진구,여성,특례수급자,30~39세,2
202006,서울특별시,광진구,여성,특례수급자,40~49세,12
202006,서울특별시,광진구,여성,특례수급자,50~59세,25
202006,서울특별시,광진구,여성,특례수급자,60~64세,9
202006,서울특별시,광진구,여성,특례수급자,65~69세,3
202006,서울특별시,광진구,여성,특례수급자,70~74세,9
202006,서울특별시,광진구,여성,특례수급자,75~79세,6
202006,서울특별시,광진구,여성,특례수급자,80~89세,7
202006,서울특별시,광진구,남성,일반수급자,65~69세,427
202006,서울특별시,광진구,여성,특례수급자,90세이상,1
202006,서울특별시,광진구,남성,일반수급자,70~74세,325
202006,서울특별시,광진구,남성,일반수급자,7~12세,288
202006,서울특별시,광진구,남성,일반수급자,75~79세,235
202006,서울특별시,광진구,남성,일반수급자,80~89세,177
202006,서울특별시,광진구,남성,일반수급자,90세이상,17
202006,서울특별시,광진구,여성,일반수급자,7세미만,102
202006,서울특별시,광진구,여성,일반수급자,7~12세,263
202006,서울특별시,광진구,여성,일반수급자,13~15세,180
202006,서울특별시,광진구,여성,일반수급자,16~18세,217
202006,서울특별시,광진구,여성,일반수급자,19~29세,374
202006,서울특별시,광진구,여성,일반수급자,30~39세,282
202006,서울특별시,광진구,여성,일반수급자,40~49세,539
202006,서울특별시,광진구,남성,일반수급자,13~15세,197
202006,서울특별시,광진구,여성,일반수급자,50~59세,709
202006,서울특별시,광진구,여성,일반수급자,60~64세,421
202006,서울특별시,광진구,여성,일반수급자,65~69세,468
