지역(구),기준년월,연도,전기요금총액(원),연근로소득(원),월근로소득(원),전기요금지출비율,비율X10000,점수(1-10),점수(1-5)
강남구,202011,2020,,,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
강남구,202012,2020,,,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
강동구,201601,2016,"6,191,915,478","2,998,431,000,000","249,869,250,000",0.02478,247.8,3,2
강동구,201602,2016,"6,316,187,872","2,998,431,000,000","249,869,250,000",0.02528,252.8,3,2
강동구,201603,2016,"5,053,842,200","2,998,431,000,000","249,869,250,000",0.02023,202.3,3,1
강동구,201604,2016,"5,020,226,304","2,998,431,000,000","249,869,250,000",0.02009,200.9,3,1
강동구,201605,2016,"4,479,554,170","2,998,431,000,000","249,869,250,000",0.01793,179.3,2,1
강동구,201606,2016,"4,887,642,080","2,998,431,000,000","249,869,250,000",0.01956,195.6,2,1
강동구,201607,2016,"5,786,843,710","2,998,431,000,000","249,869,250,000",0.02316,231.6,3,2
강동구,201608,2016,"10,088,943,592","2,998,431,000,000","249,869,250,000",0.04038,403.8,5,3
강동구,201609,2016,"3,841,440,925","2,998,431,000,000","249,869,250,000",0.01537,153.7,2,1
강동구,201610,2016,"4,127,265,597","2,998,431,000,000","249,869,250,000",0.01652,165.2,2,1
강동구,201611,2016,"4,849,139,111","2,998,431,000,000","249,869,250,000",0.01941,194.1,2,1
강동구,201612,2016,"4,847,346,952","2,998,431,000,000","249,869,250,000",0.0194,194,2,1
강동구,201701,2017,"5,043,973,248","4,060,219,000,000","338,351,583,333",0.01491,149.1,2,1
강동구,201702,2017,"5,132,145,499","4,060,219,000,000","338,351,583,333",0.01517,151.7,2,1
강동구,201703,2017,"4,026,834,134","4,060,219,000,000","338,351,583,333",0.0119,119,2,1
강동구,201704,2017,"4,326,881,732","4,060,219,000,000","338,351,583,333",0.01279,127.9,2,1
강동구,201705,2017,"3,904,720,578","4,060,219,000,000","338,351,583,333",0.01154,115.4,2,1
강동구,201706,2017,"4,121,501,968","4,060,219,000,000","338,351,583,333",0.01218,121.8,2,1
강동구,201707,2017,"5,618,711,656","4,060,219,000,000","338,351,583,333",0.01661,166.1,2,1
강동구,201708,2017,"7,422,520,596","4,060,219,000,000","338,351,583,333",0.02194,219.4,3,2
강동구,201709,2017,"4,748,363,432","4,060,219,000,000","338,351,583,333",0.01403,140.3,2,1
강동구,201710,2017,"3,871,554,680","4,060,219,000,000","338,351,583,333",0.01144,114.4,2,1
강동구,201711,2017,"4,242,075,750","4,060,219,000,000","338,351,583,333",0.01254,125.4,2,1
강동구,201712,2017,"4,739,816,172","4,060,219,000,000","338,351,583,333",0.01401,140.1,2,1
강동구,201801,2018,"5,299,152,292","4,337,675,000,000","361,472,916,667",0.01466,146.6,2,1
강동구,201802,2018,"5,409,716,891","4,337,675,000,000","361,472,916,667",0.01497,149.7,2,1
강동구,201803,2018,"4,066,322,826","4,337,675,000,000","361,472,916,667",0.01125,112.5,2,1
강동구,201804,2018,"4,289,203,996","4,337,675,000,000","361,472,916,667",0.01187,118.7,2,1
강동구,201805,2018,"3,872,219,892","4,337,675,000,000","361,472,916,667",0.01071,107.1,2,1
강동구,201806,2018,"4,229,272,346","4,337,675,000,000","361,472,916,667",0.0117,117,2,1
강동구,201807,2018,"5,537,366,894","4,337,675,000,000","361,472,916,667",0.01532,153.2,2,1
강동구,201808,2018,"9,164,454,984","4,337,675,000,000","361,472,916,667",0.02535,253.5,3,2
강동구,201809,2018,"4,602,964,104","4,337,675,000,000","361,472,916,667",0.01273,127.3,2,1
강동구,201810,2018,"3,754,935,924","4,337,675,000,000","361,472,916,667",0.01039,103.9,2,1
강동구,201811,2018,"4,099,385,576","4,337,675,000,000","361,472,916,667",0.01134,113.4,2,1
강동구,201812,2018,"4,469,937,852","4,337,675,000,000","361,472,916,667",0.01237,123.7,2,1
강동구,201901,2019,"5,093,609,752","4,542,571,000,000","378,547,583,333",0.01346,134.6,2,1
강동구,201902,2019,"4,881,779,126","4,542,571,000,000","378,547,583,333",0.0129,129,2,1
강동구,201903,2019,"3,852,956,480","4,542,571,000,000","378,547,583,333",0.01018,101.8,2,1
강동구,201904,2019,"4,229,588,672","4,542,571,000,000","378,547,583,333",0.01117,111.7,2,1
강동구,201905,2019,"3,735,311,960","4,542,571,000,000","378,547,583,333",0.00987,98.7,1,1
강동구,201906,2019,"3,981,512,808","4,542,571,000,000","378,547,583,333",0.01052,105.2,2,1
강동구,201907,2019,"4,230,625,707","4,542,571,000,000","378,547,583,333",0.01118,111.8,2,1
강동구,201908,2019,"6,697,743,360","4,542,571,000,000","378,547,583,333",0.01769,176.9,2,1
강동구,201909,2019,"5,280,888,041","4,542,571,000,000","378,547,583,333",0.01395,139.5,2,1
강동구,201910,2019,"3,987,452,942","4,542,571,000,000","378,547,583,333",0.01053,105.3,2,1
강동구,201911,2019,"4,201,575,930","4,542,571,000,000","378,547,583,333",0.0111,111,2,1
강동구,201912,2019,"4,595,518,629","4,542,571,000,000","378,547,583,333",0.01214,121.4,2,1
강동구,202001,2020,"5,263,080,288",,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
강동구,202002,2020,"5,266,921,604",,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
강동구,202003,2020,"4,808,668,300",,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
