연월,자치구명,65~69세,70~74세,75~79세,7세미만,80~89세,90세이상,합계,점수
201708,은평구,1273,1247,1207,417,1142,168,5454,5
201708,종로구,408,409,362,38,315,80,1612,1
201708,중구,388,356,347,98,357,47,1593,1
201708,중랑구,1048,1092,992,340,1085,211,4768,4
201709,강남구,931,901,778,372,708,146,3836,3
201709,강동구,696,623,653,245,633,120,2970,2
201709,강북구,1042,1139,1098,303,1048,160,4790,4
201709,강서구,1491,1541,1609,387,1655,289,6972,6
201709,관악구,924,1012,982,319,930,166,4333,4
201709,광진구,485,467,446,132,444,74,2048,1
201709,구로구,583,687,689,274,641,97,2971,2
201709,금천구,683,737,740,234,679,103,3176,2
201709,노원구,1737,1740,1916,495,1781,308,7977,8
201709,도봉구,611,676,734,253,738,126,3138,2
201709,동대문구,978,1004,990,178,803,114,4067,3
201709,동작구,582,646,659,253,609,108,2857,2
201709,마포구,583,623,588,233,603,99,2729,2
201709,서대문구,503,550,624,590,575,79,2921,2
201709,서초구,327,331,289,182,310,54,1493,1
201709,성동구,511,545,526,128,495,69,2274,1
201709,성북구,834,961,967,346,848,149,4105,3
201709,송파구,635,611,537,209,552,118,2662,2
201709,양천구,683,692,696,225,712,102,3110,2
201709,영등포구,765,666,635,210,581,98,2955,2
201709,용산구,520,509,491,158,445,84,2207,1
201709,은평구,1286,1241,1224,406,1157,168,5482,5
201709,종로구,421,411,367,37,315,82,1633,1
201709,중구,395,363,346,98,362,46,1610,1
201709,중랑구,1060,1092,999,329,1097,212,4789,4
201710,강남구,930,897,790,351,706,150,3824,3
201710,강동구,698,622,668,238,626,125,2977,2
201710,강북구,1027,1135,1113,298,1044,165,4782,4
201710,강서구,1513,1534,1615,387,1658,287,6994,6
201710,관악구,917,1022,992,315,940,166,4352,4
201710,광진구,488,469,450,127,448,76,2058,1
201710,구로구,580,684,690,270,645,99,2968,2
201710,금천구,691,730,753,230,682,101,3187,2
201710,노원구,1739,1744,1933,491,1786,313,8006,8
201710,도봉구,608,674,741,248,744,127,3142,2
201710,동대문구,973,996,1006,169,811,117,4072,3
201710,동작구,588,650,667,255,612,105,2877,2
201710,마포구,587,618,596,223,603,99,2726,2
201710,서대문구,509,541,632,583,576,79,2920,2
201710,서초구,326,334,292,179,310,55,1496,1
201710,성동구,514,536,535,119,497,67,2268,1
201710,성북구,830,949,978,343,854,152,4106,3
201710,송파구,637,619,538,206,556,121,2677,2
201710,양천구,704,680,705,224,722,104,3139,2
201710,영등포구,770,658,654,208,579,94,2963,2
201710,용산구,518,506,501,156,454,84,2219,1
201710,은평구,1279,1248,1219,402,1166,168,5482,5
201710,종로구,430,398,377,35,317,81,1638,1
201710,중구,402,358,358,100,354,47,1619,1
201710,중랑구,1079,1084,1019,325,1089,209,4805,4
201711,강남구,931,891,796,346,703,146,3813,3
