연월,자치구명,7세미만,65~69세,70~74세,75~79세,80~89세,90세이상,합계,점수
201705,종로구,47,386,423,349,317,81,1603,1
201705,중구,100,381,361,346,363,44,1595,1
201705,중랑구,373,"1,011","1,071",971,"1,050",207,4683,4
201706,강남구,365,906,905,769,699,141,3785,3
201706,강동구,256,666,628,637,629,121,2937,2
201706,강북구,335,"1,013","1,151","1,109","1,042",157,4807,4
201706,강서구,396,"1,467","1,530","1,588","1,639",291,6911,6
201706,관악구,318,920,990,970,906,153,4257,4
201706,광진구,147,482,457,433,448,77,2044,1
201706,구로구,284,564,678,693,640,96,2955,2
201706,금천구,243,687,728,722,673,101,3154,2
201706,노원구,508,"1,710","1,765","1,860","1,773",318,7934,7
201706,도봉구,267,591,670,726,722,121,3097,2
201706,동대문구,186,960,"1,024",965,797,111,4043,3
201706,동작구,260,549,647,639,603,108,2806,2
201706,마포구,223,567,621,570,617,92,2690,2
201706,서대문구,604,488,540,611,571,77,2891,2
201706,서초구,193,316,333,280,306,60,1488,1
201706,성동구,137,494,535,526,484,68,2244,1
201706,성북구,356,831,947,946,829,148,4057,3
201706,송파구,218,616,625,511,545,117,2632,2
201706,양천구,246,664,671,702,702,98,3083,2
201706,영등포구,212,746,671,625,578,100,2932,2
201706,용산구,157,519,501,483,439,75,2174,1
201706,은평구,429,"1,251","1,254","1,191","1,154",171,5450,5
201706,종로구,42,396,416,361,317,80,1612,1
201706,중구,100,379,358,346,364,44,1591,1
201706,중랑구,352,"1,016","1,073",968,"1,077",209,4695,4
201707,강남구,389,917,889,782,706,140,3823,3
201707,강동구,261,679,624,636,632,123,2955,2
201707,강북구,333,"1,012","1,147","1,098","1,054",153,4797,4
201707,강서구,396,"1,470","1,542","1,586","1,651",288,6933,6
201707,관악구,321,919,"1,010",977,913,155,4295,4
201707,광진구,138,480,464,437,445,79,2043,1
201707,구로구,288,573,679,686,643,95,2964,2
201707,금천구,238,688,725,723,669,101,3144,2
201707,노원구,507,"1,721","1,755","1,883","1,763",310,7939,7
201707,도봉구,267,601,678,725,724,126,3121,2
201707,동대문구,184,969,"1,021",977,799,112,4062,3
201707,동작구,254,567,646,642,604,109,2822,2
201707,마포구,237,564,625,578,613,95,2712,2
201707,서대문구,608,488,538,617,573,76,2900,2
201707,서초구,191,321,330,274,312,56,1484,1
201707,성동구,137,490,542,525,488,68,2250,1
201707,성북구,362,834,946,953,831,151,4077,3
201707,송파구,211,620,613,521,546,116,2627,2
201707,양천구,239,668,679,697,705,98,3086,2
201707,영등포구,207,758,669,626,579,97,2936,2
201707,용산구,162,522,502,487,442,77,2192,1
201707,은평구,419,"1,258","1,250","1,197","1,151",174,5449,5
201707,종로구,41,402,411,365,313,81,1613,1
201707,중구,98,381,355,346,363,46,1589,1
201707,중랑구,346,"1,028","1,089",985,"1,084",212,4744,4
201708,강남구,379,928,891,787,705,143,3833,3
201708,강동구,249,688,622,640,635,120,2954,2
201708,강북구,321,"1,030","1,143","1,089","1,051",156,4790,4
201708,강서구,391,"1,489","1,534","1,600","1,649",289,6952,6
201708,관악구,317,919,"1,008",983,920,159,4306,4
201708,광진구,140,474,465,437,445,75,2036,1
201708,구로구,281,583,683,685,642,93,2967,2
201708,금천구,242,684,737,723,675,101,3162,2
201708,노원구,503,"1,734","1,740","1,900","1,769",305,7951,7
201708,도봉구,260,603,678,730,731,129,3131,2
201708,동대문구,183,970,"1,015",991,799,114,4072,3
201708,동작구,258,574,642,643,607,107,2831,2
201708,마포구,230,568,626,581,602,97,2704,2
201708,서대문구,597,495,544,621,572,75,2904,2
201708,서초구,183,326,330,282,309,56,1486,1
201708,성동구,132,499,546,530,491,69,2267,1
201708,성북구,348,836,943,961,845,148,4081,3
201708,송파구,208,637,607,533,556,115,2656,2
201708,양천구,235,670,685,697,708,99,3094,2
201708,영등포구,213,769,658,627,585,97,2949,2
201708,용산구,162,526,506,490,440,82,2206,1
201708,은평구,417,"1,273","1,247","1,207","1,142",168,5454,5
